Performance,All trades,Long trades,Short trades,
Total net profit,($35037.50),($17500.00),($17537.50),
Gross profit,$603762.50,$341100.00,$262662.50,
Gross loss,($638800.00),($358600.00),($280200.00),
Commission,$0.00,$0.00,$0.00,
Profit factor,0.95,0.95,0.94,
Max. drawdown,($49550.00),($25887.50),($31137.50),
Sharpe ratio,-0.40,-0.38,-0.34,
Sortino ratio,-0.43,-0.41,-0.37,
Ulcer index,0.10,0.05,0.07,
Total Fees,$0.00,$0.00,$0.00,
Probability,94.31%,84.72%,88.88%,
,,,,
Start date,1/1/2023,,,
Start time,12:00 AM,,,
End date,12/15/2024,,,
End time,12:00 AM,,,
,,,,
Total # of trades,4752,2902,1850,
Percent profitable,37.06%,38.73%,34.43%,
# of winning trades,1761,1124,637,
# of losing trades,2933,1733,1200,
# of even trades,58,45,13,
,,,,
Avg. trade,($7.37),($6.03),($9.48),
Avg. winning trade,$342.85,$303.47,$412.34,
Avg. losing trade,($217.80),($206.92),($233.50),
Ratio avg. win / avg. loss,1.57,1.47,1.77,
,,,,
Max. consec. winners,10,8,7,
Max. consec. losers,14,17,27,
Largest winning trade,$1325.00,$1300.00,$1325.00,
Largest losing trade,($1125.00),($1125.00),($600.00),
,,,,
Avg. # of trades per day,19.78,12.08,7.70,
Avg. time in market,50.54 min,53.88 min,45.30 min,
Profit per month,($3070.82),($1533.76),($1537.05),
Max. time to recover,337.10 days,303.42 days,339.42 days,
Longest flat period,3.12 days,3.17 days,3.15 days,
,,,,
Avg. MAE,$176.60,$164.69,$195.29,
Avg. MFE,$229.73,$213.89,$254.58,
Avg. ETD,$237.10,$219.92,$264.06,
